矩阵行号,词项列号,TF-IDF值
0,41159,0.439002
0,2929,0.396354
0,17928,0.378516
0,18120,0.362101
0,11153,0.344192
0,36982,0.344192
0,628,0.310347
0,1727,0.206248
1,25478,0.397005
1,21190,0.368853
1,14282,0.343614
1,40042,0.319804
1,2756,0.305041
1,12025,0.291764
1,358,0.28337
1,39432,0.281037
2,46281,0.581173
2,4940,0.515446
2,45976,0.2534
2,12160,0.235218
2,8800,0.231873
2,35273,0.2248
2,15842,0.223782
2,35787,0.219202
