model_name,feature_type,tuning_method,selection_score_name,selection_score,val_accuracy,val_f1_macro,test_accuracy,test_f1_macro,alpha,var_smoothing,n_estimators,max_depth,max_features,hidden1,hidden2,dropout,lr,epochs,is_best
mlp,tfidf,holdout_validation,val_f1_macro,0.8076728630619915,0.8076883008646734,0.8076728630619915,,,,,,,,256,128,0.2,0.001,5,0
mlp,tfidf,holdout_validation,val_f1_macro,0.8077300182155247,0.8077403896239191,0.8077300182155247,0.81435952996083,0.8143411153968163,,,,,,256,128,0.5,0.001,5,1
mlp,tfidf,holdout_validation,val_f1_macro,0.7972680055365962,0.7972705490155224,0.7972680055365962,,,,,,,,128,64,0.2,0.0005,10,0
mlp,tfidf,holdout_validation,val_f1_macro,0.8041450408874082,0.8041462652359621,0.8041450408874082,,,,,,,,128,64,0.5,0.0005,10,0
