算法,特征,Accuracy,Precision,Recall,F1
朴素贝叶斯,Word2Vec,0.8139428285690474,0.8189742656276402,0.8139428285690474,0.8132062165082548
随机森林,Word2Vec,0.873822818568214,0.8740353164326526,0.873822818568214,0.8738048949998122
MLP神经网络,TF-IDF,0.8158596549712476,0.8161885656574803,0.8158596549712476,0.8158117551666815
